"","SamplingSize","ModelType","ModelAccuracy","ModelTime"
"1",500,"LDA",84,3.0199999999968
"2",500,"ClassificationTree",53.2,3.45000000000437
"3",500,"RF",89.2,129.889999999999
"4",500,"GBM",88.8,95.2699999999968
"5",750,"LDA",86.4,2.23999999999796
"6",750,"ClassificationTree",65.6,2.9800000000032
"7",750,"RF",96.5333333333333,203.519999999997
"8",750,"GBM",95.7333333333333,127.279999999999
"9",1000,"LDA",84,1.97000000000116
"10",1000,"ClassificationTree",59.6,3.19000000000233
"11",1000,"RF",96.4,288.949999999997
"12",1000,"GBM",97,168.800000000003
"13",2000,"LDA",83,3.09000000000378
"14",2000,"ClassificationTree",57.3,4.63999999999942
"15",2000,"RF",98.5,654.479999999996
"16",2000,"GBM",99,340.550000000003
"17",5000,"LDA",85.92,6.34000000000378
"18",5000,"ClassificationTree",52.96,8.90000000000146
"19",5000,"RF",99.6,1936.94
"20",5000,"GBM",99.48,897.159999999996
"21",10000,"LDA",84.8,12.6699999999983
"22",10000,"ClassificationTree",66.3,19.6200000000026
"23",10000,"RF",99.82,5046.19
"24",10000,"GBM",99.5,1876.41
