"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"1",26.15,26.42,25.98,26.290001,40644800,16.941241
"2",26.379999,26.57,26.290001,26.379999,32246200,16.999235
"3",26.549999,26.629999,26.17,26.299999,31353500,16.947683
"4",26.290001,26.42,25.889999,26.16,43223500,16.857468
"5",26.24,26.34,26.040001,26.17,31304200,16.863912
"6",26.1,26.26,26,26.200001,34547300,16.883245
"7",25.780001,26.51,25.780001,26.459999,37242600,17.050787
"8",26.379999,26.809999,26.379999,26.639999,29799900,17.166779
"9",26.639999,26.82,26.51,26.77,31184100,17.250552
"10",26.700001,27.02,26.67,26.889999,36409900,17.327879
"11",26.84,27.27,26.84,27.17,38578800,17.508311
"12",27.219999,27.41,27.120001,27.219999,33766000,17.54053
"13",27.23,27.299999,26.66,26.950001,47968200,17.366544
"14",26.620001,26.67,26.02,26.370001,51396800,16.992792
"15",26.34,26.84,26.27,26.82,37937400,17.282771
"16",26.82,26.889999,26.290001,26.360001,35079200,16.986348
"17",26.33,26.35,26,26.290001,33066100,16.941241
"18",26.24,26.4,26,26.059999,33820800,16.793028
"19",26.02,26.16,26,26.1,26400600,16.818804
"20",26.01,26.309999,26,26.24,34682700,16.90902
"21",26.389999,26.690001,26.309999,26.620001,30714900,17.153892
"22",26.67,26.870001,26.610001,26.799999,35327100,17.269883
"23",26.73,27,26.66,26.879999,38459300,17.321435
"24",26.77,26.940001,26.719999,26.83,23959600,17.289215
"25",26.559999,26.68,26.309999,26.52,26899300,17.276188
"26",26.35,26.52,26.33,26.440001,21352800,17.224073
"27",26.41,26.549999,26.34,26.379999,23959300,17.184986
"28",26.42,26.469999,26.139999,26.219999,21912000,17.080755
"29",26.219999,26.41,26.209999,26.389999,23944000,17.1915
"30",26.32,26.68,26.290001,26.58,29519500,17.315274
"31",26.58,26.58,26.35,26.530001,29467600,17.282703
"32",26.42,26.5,26.16,26.299999,30612100,17.132871
"33",26.190001,26.360001,26.110001,26.299999,26156300,17.132871
"34",26.200001,26.299999,26.040001,26.07,27045700,16.98304
"35",26.09,26.09,25.809999,25.870001,36250200,16.852752
"36",25.9,25.92,25.559999,25.620001,38039900,16.689892
"37",25.709999,25.92,25.620001,25.84,32299500,16.833209
"38",25.549999,25.9,25,25.139999,48251000,16.3772
"39",25.33,25.48,24.940001,24.959999,57508600,16.259941
