Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:58.504,00:05:55.00,1,5,--,0:05:58  ,0:05:55  ,0:05:25  ,167.390625,173.0,99.98298913219134,161.0,164.0,--,78
2,00:05:24.791,00:05:23.00,1,4,3,0:05:24  ,0:05:23  ,0:05:12  ,172.09375,174.0,107.34509032192929,162.0,167.0,--,72
3,00:05:39.136,00:05:35.00,1,--,3,0:05:39  ,0:05:35  ,0:05:18  ,172.03125,174.0,102.84188526793582,160.0,162.0,--,74
4,00:05:40.115,00:05:37.00,1,--,--,0:05:40  ,0:05:37  ,0:05:29  ,171.734375,174.0,102.72312977595452,161.0,165.0,--,74
5,00:05:40.986,00:05:38.00,1,3,3,0:05:40  ,0:05:38  ,0:05:31  ,171.625,174.0,102.52603482073846,162.0,164.0,--,75
6,00:05:49.248,00:05:46.00,1,5,6,0:05:49  ,0:05:46  ,0:05:36  ,168.125,174.0,102.18450438930498,161.0,165.0,--,76
7,00:05:38.560,00:05:32.00,1,4,--,0:05:38  ,0:05:32  ,0:05:28  ,172.71875,174.0,102.60679474617112,163.0,166.0,--,74
8,00:05:49.313,00:05:48.00,1,6,--,0:05:49  ,0:05:48  ,0:05:28  ,170.03125,174.0,101.02009411050321,162.0,165.0,--,76
9,00:05:32.58,00:05:26.00,1,--,12,0:05:32  ,0:05:26  ,0:05:09  ,172.71875,175.0,104.61592469665536,163.0,168.0,--,72
10,00:05:41.420,00:05:33.00,1,5,--,0:05:41  ,0:05:33  ,0:05:28  ,173.140625,176.0,101.49935779652466,162.0,164.0,--,73
11,00:05:38.373,00:05:36.00,1,22,--,0:05:38  ,0:05:36  ,0:04:22  ,165.96875,174.0,106.83885958105594,164.0,174.0,--,73
12,00:05:54.834,00:05:50.00,1,20,13,0:05:54  ,0:05:50  ,0:04:52  ,171.53125,174.0,98.57862419896418,165.0,173.0,--,78
13,00:05:19.705,00:05:16.00,1,19,18,0:05:19  ,0:05:16  ,0:05:00  ,168.71875,178.0,111.23423978627629,164.0,171.0,--,68
14,00:05:16.872,00:05:16.00,1,--,25,0:05:16  ,0:05:16  ,0:04:56  ,173.734375,181.0,108.9887361401746,165.0,170.0,--,66
15,00:05:31.542,00:05:27.00,1,--,6,0:05:31  ,0:05:27  ,0:05:10  ,173.1875,176.0,104.49515740406363,165.0,171.0,--,69
16,00:05:33.887,00:05:29.00,1,--,--,0:05:33  ,0:05:29  ,0:05:16  ,173.40625,176.0,103.63035895768493,167.0,175.0,--,72
17,00:05:36.434,00:05:31.00,1,--,1,0:05:36  ,0:05:31  ,0:05:23  ,172.84375,177.0,103.18051789638231,167.0,174.0,--,73
18,00:05:36.153,00:05:31.00,1,--,--,0:05:36  ,0:05:31  ,0:05:22  ,174.453125,178.0,102.31409942848325,168.0,176.0,--,73
19,00:05:43.850,00:05:43.00,1,13,--,0:05:43  ,0:05:43  ,0:05:27  ,173.046875,176.0,100.83666021459989,167.0,171.0,--,73
20,00:05:45.212,00:05:41.00,1,--,7,0:05:45  ,0:05:41  ,0:05:20  ,174.34375,176.0,99.69169412474652,167.0,173.0,--,74
21,00:05:41.720,00:05:35.00,1,--,8,0:05:41  ,0:05:35  ,0:05:23  ,174.34375,176.0,100.71043412456598,169.0,173.0,--,76
22,00:05:45.591,00:05:39.00,1,5,--,0:05:45  ,0:05:39  ,0:05:30  ,173.4375,176.0,100.10270595138957,172.0,176.0,--,80
23,00:05:46.01,00:05:41.00,1,--,2,0:05:46  ,0:05:41  ,0:05:10  ,173.25,180.0,100.09229430947705,173.0,177.0,--,81
24,00:06:16.693,00:06:13.00,1,--,--,0:06:16  ,0:06:13  ,0:05:36  ,162.90625,181.0,97.77458060780677,171.0,178.0,--,83
25,00:06:00.636,00:05:55.00,1,22,--,0:06:00  ,0:05:55  ,0:05:22  ,172.171875,176.0,96.63178018901223,172.0,175.0,--,82
26,00:06:51.661,00:06:47.00,1,7,9,0:06:51  ,0:06:47  ,0:04:58  ,161.0,176.0,90.52856542851228,170.0,179.0,--,86
27,00:05:53.890,00:05:49.00,1,--,5,0:05:53  ,0:05:49  ,0:04:47  ,172.046875,176.0,98.545353779036,168.0,174.0,--,71
28,00:06:33.906,00:06:30.00,1,--,18,0:06:33  ,0:06:29  ,0:05:18  ,157.234375,176.0,96.87487366702119,167.0,175.0,--,76
29,00:06:16.790,00:06:11.00,1,17,13,0:06:16  ,0:06:11  ,0:05:53  ,170.59375,174.0,93.34450487804742,171.0,174.0,--,84
30,00:06:43.146,00:06:29.00,1,--,13,0:06:43  ,0:06:29  ,0:05:57  ,159.3125,174.0,93.41982441306666,170.0,174.0,--,88
31,00:08:55.512,00:08:20.00,1,7,5,0:08:55  ,0:08:20  ,0:05:58  ,130.6875,173.0,85.73299066041247,155.0,171.0,--,55
32,00:08:01.643,00:07:50.00,1,6,4,0:08:01  ,0:07:50  ,0:06:26  ,140.03125,171.0,88.96128084007672,155.0,163.0,--,40
33,00:08:42.148,00:08:39.00,1,--,3,0:08:42  ,0:08:39  ,0:06:18  ,129.5625,171.0,88.69074512052677,153.0,167.0,--,51
